price,state,city,images_count,storage_size_gb,ram_size_gb,fingerprint,touch,warranty,urgent_sell,clean_model_series,is_discrete,gpu_vendor,cpu_composite_clean,clean_brand,clean_display_inches,clean_gpu_composite,description,is_global_train,cpu_tier,gpu_tier,state_target_enc,city_target_enc,clean_model_series_target_enc,gpu_vendor_target_enc,cpu_composite_clean_target_enc,clean_brand_target_enc,clean_gpu_composite_target_enc,listing_age_days,price_normalized,condition_degradation_index,expert_model_route
29500.0,Gujarat,Ahmedabad,10,256,8,0,0,0,0,HP EliteBook,0,INTEL,INTEL_CORE_I5_SKU11_TH,HP,14.0,INTEL_UHD_SYSRAM,"Product price depends on current RAM & SSD market rates. Please call or WhatsApp before visiting.

Premium Business Laptop – HP Elitebook 840 G8
Intel Core i5 11th Gen  8 GB RAM  256 GB SSD  14"" Display  A+ Condition

Condition:
Purely unused stock – looks and works like brand new
Scratch-less, dent-less, and professionally verified
Ideal for office use, professional work, and high productivity

Configuration Details:

    Model: HP Elitebook 840 G8
    Processor: Intel Core i5 11th Generation
    RAM: 8 GB DDR4
    Storage: 256 GB SSD
    Display: 14 inch (HD or Full HD, Anti-Glare)
    Graphics: Intel HD Graphics
    OS: Windows 11
    Ports: USB, HDMI, Audio
    Includes: Adapter and Charging Cable

Top Features:

    Business-class build with slim and stylish design
    Lightweight and easy to carry
    Long battery backup for all-day work
    Smooth performance for MS Office, Tally, Photoshop, Zoom, and more
    Plug-and-play ready

Why Choose Dream Infotech

    Special deals for bulk buyers, corporates, and resellers
    Huge stock of laptops and desktops available
    Option to customize configuration as per your requirement
    One stop destination for IT hardware – refurbished, unboxed, and pre-owned systems
    All products checked and ready to use

Visit Us at:
Dream Infotech – Ahmedabad
Shop No. 101, 1st Floor, Sunway Residency
Opp. Sahaj Residency, Near Nikol Lake
New India Colony, Nikol, Ahmedabad, Gujarat 382350


All India Delivery Available
Actual product images and video demo available on request",False,5,1,30034.714285714286,31834.233576642335,30044.598214285714,27508.086188992733,28041.372881355932,30006.89889415482,22257.114285714284,56.424236,10.292179440058462,0.12495272277892866,2
26000.0,Uttar Pradesh,Meerut,6,256,8,0,1,1,0,Dell Latitude,0,INTEL,INTEL_CORE_I5_SKU10_TH,DELL,14.0,INTEL_INFERRED_IGPU_SYSRAM,"Company = Dell Touch Screen Laptop 
Processor = i5 H PROCESSOR 
Model = latitude 5411
Generations = 10th
Ram = 8gb 
Ssd = 256 gb 
Win  = 11 pro 
Battery = 2घंटे + 
Charger = original 
Bill = yes 
Bag = yes 
Mouse = yes 
Warranty = 3 month full warranty 

हमारा पता
ROYAL INFOTECH
मेरठ में गढ़ रोड पर है
(सोहराब गेट) गढ़ अड्डे के पास में 
Hotel Diamond के  बराबर में CROMA  के सामने*  s2s में है जिसमे Domino’s   है 
82.      One 80    nine one       5 one 8",True,5,1,30027.983193277312,28166.296296296296,27058.25925925926,27909.983891752578,25025.75257731959,28023.39024390244,28010.746280344556,41.426723,10.165890277802454,0.0,-1
65000.0,Andhra Pradesh,Vijayawada,6,512,16,0,0,0,0,Asus VivoBook,0,AMD,AMD_RYZEN_AI7_SKU350_STD,ASUS,16.0,AMD_INFERRED_IGPU_SYSRAM,"Asus Vivobook 16,AMD RYZEN AI 7 350,16GB Ram,512 GB SSD,16 inch Laptop,Windows 11,Office Home 2024,M365 Basic 1 year,Integrated AMD Radeon Graphics.No dents and No scratches and Looks like brand New.Very light usage till now.Any one interested let me know.8 months old Laptop.Don't ask cheap prices",False,8,1,34655.08620689655,32124.1875,34345.96929824561,28541.92953020134,42856.42857142857,39865.65671641791,27074.192949907236,38.300068,11.082157933374816,0.0,0
22000.0,Karnataka,Bengaluru,3,256,8,0,0,0,0,Other / Unclassified Hardware,0,INTEL,INTEL_CORE_I5_SKU10_TH,HP,14.1,INTEL_INFERRED_IGPU_SYSRAM,"HP Prodesk 600 G8 mini pc
i5 10th generation 
8gb ddr4 ram
256gb SSD",True,5,1,37391.8302828619,37869.84870848709,28017.88312462731,27012.93756065998,24626.439688715953,30008.756097560974,27513.76475216365,35.893322,9.99884318585288,0.0,1
30000.0,Haryana,Gurgaon,4,512,8,0,0,0,0,HP Pavilion,1,NVIDIA,AMD_RYZEN_5_SKU5600_H,HP,15.6,GTX1650_SYSRAM,HP Pavilion AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-ec2004AX Gaming Laptop on Sale,True,5,4,30049.211822660098,31454.864864864863,34645.929203539825,54764.625,38902.31707317073,30008.756097560974,36118.336134453784,35.72052,10.308985993422082,0.0,3
27999.0,Karnataka,Bengaluru,9,256,8,0,0,0,0,Dell Latitude,0,INTEL,INTEL_CORE_I5_SKU10310_U,DELL,14.0,INTEL_INFERRED_IGPU_SYSRAM,"Model : Dell Latitude 5410

Intel Core i5-10310U {10th Generation }

14"" FHD Screen

8 GB RAM Upgradable upto 32GB

256 SSD Upgradable up to 1TB SSD

4GB Integrated Intel Graphics

Webcam

Windows 10/11 Pro 64-bit Original OS

Original Charger

Offer Price - 27,999/-",True,5,1,34922.94520547945,35885.42857142857,27051.805429864253,27011.38211382114,28863.090909090908,28019.349877949553,27910.309278350516,33.35258,10.239959789157341,0.0,1
36000.0,Tamil Nadu,Chennai,6,512,16,1,0,1,0,HP EliteBook,0,INTEL,INTEL_CORE_I7_SKU11_TH,HP,14.0,INTEL_INFERRED_IGPU_SYSRAM,"Intel core i7 11th Gen
16gb Ram (upgradable)
512gb ssd (upgradable)
Windows 11 original 
Fingerprint scanner 
Webcam
WiFi
Bluetooth
Excellent battery 
Brand new condition 
30 days seller warranty 
Fixed price",True,7,1,27946.931407942237,26629.87012987013,30028.571428571428,27011.38211382114,35727.541401273884,30003.96531219029,27910.309278350516,32.358913,10.491301994830229,0.0,1
27999.0,Karnataka,Bengaluru,6,256,8,0,0,0,0,Lenovo ThinkPad,1,NVIDIA,INTEL_CORE_I5_SKU10310_U,LENOVO,14.0,NVIDIA_QUADRO_PRO_SYSRAM,"*Lenovo ThinkPad P14s G1 – i5 Workstation Laptop*

Specifications:

Model: Lenovo ThinkPad P14s

Processor: Intel Core i5 10th Gen (10310U)

Display: 14” Full HD Anti-Glare

RAM: 8GB DDR4 (Upgradeable)

Storage: 256GB SSD (Fast Boot)

Graphics: 2GB NVIDIA Quadro P520

Keyboard: Backlit Keyboard

Webcam: HD Camera

OS: Windows 11 Pro (Original)",True,5,5,34922.94520547945,35885.42857142857,30015.243902439026,54762.82671829622,28863.090909090908,30006.082725060827,37564.10256410256,31.335764,10.239959789157341,0.0,3
26800.0,Gujarat,Vadodara,5,256,8,0,0,1,0,HP EliteBook,0,INTEL,INTEL_CORE_I5_SKU1145_G,HP,14.0,INTEL_IRIS_SYSRAM,"ll Model. HP ELITEBOOK 840 G8 
ll Slim • Premium • Business Class Laptop

ll Hot Deal  Limited Stock  Best Price Offer 

ll Intel Core i5-1145G7 Processor
ll 11th Generation Power
ll 8GB DDR4 RAM
ll 256GB NVMe SSD (Fast Boot)
ll 14” Full HD Display
ll Intel Iris Xe Graphics
ll Windows 11 Pro Licensed
ll Original HP Adapter
ll Ultra Slim & Light Weight
ll 1 Month Warranty
ll A+ Refurbished Condition

ll Perfect For:
Office Work • Business • Online Work • Students • Tally • MS Office • Browsing • Work From Home

ll SHREE VINAYAK INFOTECH
 Manjalpur, Vadodara, Gujarat

# Call. g8g84O5g48",True,5,1,30044.79820627803,26891.08695652174,30052.85714285714,27909.983891752578,28903.761904761905,30009.82300884956,34803.87254901961,31.280209,10.196194479235656,0.0,1
37999.0,Karnataka,Bengaluru,5,256,16,0,0,0,0,Lenovo ThinkPad,1,NVIDIA,INTEL_CORE_I7_SKU10310_U,LENOVO,14.0,NVIDIA_QUADRO_PRO_SYSRAM,"*Lenovo ThinkPad P14s G1 – i5 Workstation Laptop*

Specifications:

Model: Lenovo ThinkPad P14s

Processor: Intel Core i7 10th Gen (10310U)

Display: 14” Full HD Anti-Glare

RAM: 16GB DDR4 (Upgradeable)

Storage: 256GB SSD (Fast Boot)

Graphics: 2GB NVIDIA Quadro P520

Keyboard: Backlit Keyboard

Webcam: HD Camera

OS: Windows 11 Pro (Original)",True,7,5,35912.793103448275,35903.030710172745,31484.44099378882,52784.5151811949,31635.363636363636,30505.009615384617,38552.36842105263,31.274595,10.545341438708522,0.0,3
